,タイトル,製作年度,上映時間,製作国,ジャンル1,ジャンル2,ジャンル3,ジャンル4,平均評価,評価数,5点評価の割合,4点評価の割合,3点評価の割合,2点評価の割合,1点評価の割合,物語,配役,演出,映像,音楽,詳細url 
4695,ドラえもん　おばあちゃんの思い出,2000年,27分,日本,ファミリー,アニメ,ジャンル記載なし,ジャンル記載なし,4.52,270,71.1,17.8,6.3,1.5,3.3,4.79487,4.71794,4.6282,4.55128,4.36363,https://movies.yahoo.co.jp/movie/239058
4696,101,1996年,102分,アメリカ,コメディ,ファミリー,ジャンル記載なし,ジャンル記載なし,3.46,270,21.1,21.1,43.3,11.5,3.0,3.17391,3.60869,3.34782,3.21739,3.04347,https://movies.yahoo.co.jp/movie/52315
4697,九龍の眼／クーロンズ・アイ,1988年,121分,香港,アクション,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.58,270,21.1,28.5,39.6,8.5,2.2,3.30555,3.88888,4.0,3.83333,3.62857,https://movies.yahoo.co.jp/movie/6231
4698,トラ・トラ・トラ！,1970年,143分,"アメリカ,日本",戦争,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.94,270,36.7,30.7,25.9,3.7,3.0,4.13888,4.20833,4.25,4.52777,3.94444,https://movies.yahoo.co.jp/movie/16206
4699,アフターマス,2016年,94分,アメリカ,ドラマ,サスペンス,ジャンル記載なし,ジャンル記載なし,2.92,270,9.3,16.7,40.4,24.4,9.3,3.21739,3.27659,2.7826,3.0,2.93478,https://movies.yahoo.co.jp/movie/361333
4700,15ミニッツ,2001年,121分,アメリカ,サスペンス,アクション,ジャンル記載なし,ジャンル記載なし,3.25,270,8.5,28.9,46.3,11.9,4.4,3.74545,4.2909,3.98181,3.6909,3.38181,https://movies.yahoo.co.jp/movie/234280
4701,フォー・ウェディング,1994年,118分,イギリス,コメディ,ロマンス,ジャンル記載なし,ジャンル記載なし,3.29,270,16.7,22.2,40.7,14.1,6.3,3.02777,3.63888,3.17142,3.16666,3.24324,https://movies.yahoo.co.jp/movie/19891
4702,メッセージ・イン・ア・ボトル,1999年,131分,アメリカ,ドラマ,ロマンス,ジャンル記載なし,ジャンル記載なし,3.41,270,17.4,28.2,36.3,14.1,4.1,3.40845,4.09859,3.67605,3.9,3.54285,https://movies.yahoo.co.jp/movie/85039
4703,スコーピオン・キング,2002年,92分,アメリカ,アドベンチャー,アクション,ファミリー,ジャンル記載なし,3.03,270,10.4,15.2,47.0,21.5,5.9,2.75675,3.54054,3.1081,3.27027,3.02702,https://movies.yahoo.co.jp/movie/237783
4704,ブレックファスト・クラブ,1985年,97分,アメリカ,青春,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.47,270,22.2,26.7,34.4,9.6,7.0,3.53488,3.90697,3.4186,3.25581,3.60465,https://movies.yahoo.co.jp/movie/20683
4705,マップ・トゥ・ザ・スターズ,2014年,上映時間記載なし,"カナダ,アメリカ,ドイツ,フランス",ドラマ,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.09,270,11.9,25.2,31.9,22.2,8.9,3.16071,4.14285,3.5,3.42857,3.14285,https://movies.yahoo.co.jp/movie/350457
4706,トリスタンとイゾルデ,2006年,125分,アメリカ,ロマンス,ドラマ,ジャンル記載なし,ジャンル記載なし,3.81,270,29.6,37.0,22.6,6.7,4.1,4.10317,4.168,3.944,4.19841,3.66666,https://movies.yahoo.co.jp/movie/325030
4707,機動戦士ガンダムUC（ユニコーン）／episode 7　虹の彼方に,2014年,上映時間記載なし,日本,SF,アニメ,ジャンル記載なし,ジャンル記載なし,4.0,270,44.8,29.3,13.7,5.2,7.0,3.81147,4.38842,3.95041,4.41803,4.39344,https://movies.yahoo.co.jp/movie/347598
4708,最低。,2017年,121分,日本,ドラマ,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,2.85,269,10.8,18.6,32.3,21.2,17.1,3.20512,3.55263,3.28947,3.23684,2.76315,https://movies.yahoo.co.jp/movie/361666
4709,パブリック　図書館の奇跡,2018年,119分,アメリカ,ドラマ,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.66,269,16.0,41.6,36.8,3.7,1.9,3.72,3.8,3.5,3.36,3.16,https://movies.yahoo.co.jp/movie/372803
4710,クライシス・オブ・アメリカ,2004年,130分,アメリカ,サスペンス,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,2.99,269,7.1,19.0,45.0,23.8,5.2,2.96774,3.82258,3.04918,3.0,2.90163,https://movies.yahoo.co.jp/movie/321051
4711,テイク・シェルター,2011年,120分,アメリカ,サスペンス,ドラマ,ジャンル記載なし,ジャンル記載なし,3.2,269,12.6,24.9,37.2,20.8,4.5,3.13793,3.72093,3.34883,3.36046,3.01162,https://movies.yahoo.co.jp/movie/341469
4712,オンリー・ラヴァーズ・レフト・アライヴ,2013年,123分,"アメリカ,イギリス,ドイツ",ドラマ,ファンタジー,ホラー,ジャンル記載なし,3.58,269,21.2,35.3,29.0,8.9,5.6,3.10714,4.1228,3.53571,3.80357,3.83928,https://movies.yahoo.co.jp/movie/347005
4713,嗤う分身,2013年,93分,イギリス,ドラマ,サスペンス,コメディ,ジャンル記載なし,3.14,269,13.4,23.4,35.7,19.3,8.2,3.28571,3.97619,3.57142,3.66666,3.64285,https://movies.yahoo.co.jp/movie/347076
4714,リーピング,2007年,100分,アメリカ,ホラー,サスペンス,ジャンル記載なし,ジャンル記載なし,3.16,269,7.8,26.4,45.7,14.5,5.6,3.08571,3.61142,3.22857,3.56321,2.96,https://movies.yahoo.co.jp/movie/326991
4715,ポンヌフの恋人,1991年,125分,フランス,ドラマ,ロマンス,ジャンル記載なし,ジャンル記載なし,3.83,269,29.7,36.8,23.4,6.7,3.4,3.68965,4.18965,3.98275,4.32758,3.86206,https://movies.yahoo.co.jp/movie/21845
4716,モーリス,1987年,140分,イギリス,青春,ロマンス,ジャンル記載なし,ジャンル記載なし,4.01,269,40.5,31.6,20.1,3.7,4.1,4.22222,4.61111,4.25,4.47222,4.11428,https://movies.yahoo.co.jp/movie/23512
4717,SPEC零　警視庁公安部公安第五課　未詳事件特別対策係事件簿,2013年,上映時間記載なし,日本,サスペンス,コメディ,ジャンル記載なし,ジャンル記載なし,2.82,269,12.3,18.6,33.1,10.8,25.3,4.0,4.66666,4.0,4.0,4.33333,https://movies.yahoo.co.jp/movie/346101
4718,燃ゆる女の肖像,2019年,122分,フランス,ドラマ,ロマンス,ジャンル記載なし,ジャンル記載なし,3.89,269,32.0,38.3,20.5,5.6,3.7,3.75,4.17647,4.07352,4.44776,4.10447,https://movies.yahoo.co.jp/movie/373796
4719,MWムウ　第0章　悪魔のゲーム,2009年,88分,日本,サスペンス,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,1.74,269,11.5,3.0,6.7,5.2,73.6,2.5,3.5,2.5,2.16666,2.2,https://movies.yahoo.co.jp/movie/334308
4720,映画ドラえもん　のび太の人魚大海戦,2010年,99分,日本,アドベンチャー,ファミリー,アニメ,ジャンル記載なし,2.56,269,15.2,11.9,16.4,26.4,30.1,2.28571,2.91428,2.36416,3.01724,2.7816,https://movies.yahoo.co.jp/movie/335426
4721,ライリー・ノース　復讐の女神,2018年,102分,"アメリカ,香港",アクション,サスペンス,ジャンル記載なし,ジャンル記載なし,3.66,269,16.7,40.9,36.1,4.5,1.9,2.88095,3.5238,3.45238,3.35714,2.83333,https://movies.yahoo.co.jp/movie/369153
4722,ヤングガン,1988年,107分,アメリカ,西部劇,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.91,269,29.4,40.5,23.1,6.3,0.7,3.8409,4.3409,3.75,3.75,3.79069,https://movies.yahoo.co.jp/movie/23882
4723,接吻,2006年,108分,日本,ドラマ,サスペンス,ロマンス,ジャンル記載なし,3.86,269,29.4,40.9,19.3,7.4,3.0,3.89696,4.59999,3.99393,3.80606,3.52121,https://movies.yahoo.co.jp/movie/329547
4724,映画ドラえもん　のび太と奇跡の島 アニマル アドベンチャー,2012年,100分,日本,ファミリー,アドベンチャー,アニメ,ジャンル記載なし,2.93,269,21.6,11.5,26.0,20.1,20.8,2.3897,2.99248,2.47368,3.19696,3.36923,https://movies.yahoo.co.jp/movie/340606
4725,白い帽子の女,2015年,122分,アメリカ,ドラマ,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,2.46,269,6.7,14.5,23.8,28.6,26.4,2.15,3.325,2.6,3.29268,2.5,https://movies.yahoo.co.jp/movie/356583
4726,コドモのコドモ,2008年,122分,日本,ドラマ,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,2.42,268,10.1,16.0,18.3,17.2,38.4,2.37096,3.1626,2.53658,2.69105,2.53658,https://movies.yahoo.co.jp/movie/330985
4727,チャンプ,1979年,123分,アメリカ,ドラマ,ファミリー,ジャンル記載なし,ジャンル記載なし,4.0,268,40.3,32.8,16.8,7.1,3.0,3.98809,4.41666,3.98809,3.82142,3.70238,https://movies.yahoo.co.jp/movie/14716
4728,ガフールの伝説,2010年,97分,アメリカ,アドベンチャー,ファンタジー,ファミリー,アニメ,3.48,268,14.9,36.2,35.5,8.6,4.9,3.30708,3.4375,3.79687,4.5,3.75,https://movies.yahoo.co.jp/movie/336703
4729,ミッション,1986年,126分,イギリス,ドラマ,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.48,268,17.5,34.3,31.0,13.1,4.1,3.84848,4.15151,3.87878,4.15151,4.21212,https://movies.yahoo.co.jp/movie/22838
4730,ランダム　存在の確率,2013年,88分,アメリカ,サスペンス,SF,ジャンル記載なし,ジャンル記載なし,3.13,268,7.8,31.3,35.1,17.9,7.8,3.68627,3.17647,3.49019,3.21568,2.7647,https://movies.yahoo.co.jp/movie/351130
4731,プロジェクトBB,2006年,126分,香港,アクション,コメディ,ジャンル記載なし,ジャンル記載なし,3.67,268,24.3,35.1,27.2,10.1,3.4,3.54166,4.1931,3.65277,3.57638,3.18881,https://movies.yahoo.co.jp/movie/326982
4732,マギーズ・プラン　幸せのあとしまつ,2015年,99分,アメリカ,コメディ,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.23,268,12.3,23.9,43.7,14.6,5.6,3.31428,3.91428,3.42857,3.51428,3.42857,https://movies.yahoo.co.jp/movie/358273
4733,宇宙戦艦ヤマト2199／第一章　遥かなる旅立ち,2012年,上映時間記載なし,日本,SF,アクション,アニメ,ジャンル記載なし,4.16,268,55.6,23.1,9.0,6.3,6.0,4.30319,4.02659,3.95744,4.34574,4.54787,https://movies.yahoo.co.jp/movie/342025
4734,劇場版 境界の彼方 -I'LL BE HERE-　未来篇,2015年,89分,日本,ファンタジー,アドベンチャー,青春,アニメ,2.65,268,22.8,12.3,15.7,5.2,44.0,2.52727,3.37735,2.81132,3.83018,3.47169,https://movies.yahoo.co.jp/movie/350919
4735,カルテット！　人生のオペラハウス,2012年,99分,イギリス,ドラマ,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.36,268,11.9,30.2,43.7,10.1,4.1,3.20547,3.93243,3.20547,3.53424,4.0,https://movies.yahoo.co.jp/movie/344410
4736,グッドナイト＆グッドラック,2005年,93分,アメリカ,ドラマ,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.58,268,22.8,31.3,31.3,10.1,4.5,3.68141,4.18584,3.74561,3.88596,3.78947,https://movies.yahoo.co.jp/movie/323374
4737,伝染歌,2007年,128分,日本,ホラー,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,2.13,268,6.0,12.3,15.3,22.0,44.4,1.98192,2.84242,2.1265,2.17575,2.26219,https://movies.yahoo.co.jp/movie/327922
4738,パラノーマル・アクティビティ2,2010年,91分,アメリカ,ホラー,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,2.44,268,2.6,13.1,33.2,27.6,23.5,2.24,2.61333,2.39333,2.5302,2.29931,https://movies.yahoo.co.jp/movie/338121
4739,ビバリーヒルズ・コップ3,1994年,103分,アメリカ,アクション,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,2.85,267,6.4,13.1,48.3,23.2,9.0,2.44,3.16,2.68,2.84,2.88,https://movies.yahoo.co.jp/movie/19348
4740,フィフティ・シェイズ・フリード,2018年,105分,アメリカ,ロマンス,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.27,267,14.6,28.5,34.1,15.0,7.9,2.7027,3.4054,2.81081,3.7027,3.51351,https://movies.yahoo.co.jp/movie/363428
4741,素敵なダイナマイトスキャンダル,2018年,138分,日本,青春,コメディ,ジャンル記載なし,ジャンル記載なし,3.09,267,13.5,25.8,31.5,15.0,14.2,2.91428,3.79411,3.17647,3.20588,3.41176,https://movies.yahoo.co.jp/movie/362254
4742,インナースペース,1987年,121分,アメリカ,コメディ,SF,ジャンル記載なし,ジャンル記載なし,3.3,267,10.9,25.1,49.1,12.7,2.3,2.96,3.56,3.16,3.8,3.04,https://movies.yahoo.co.jp/movie/2185
4743,引き出しの中のラブレター,2009年,119分,日本,ドラマ,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.79,267,34.5,27.7,23.6,10.5,3.8,3.73939,3.95757,3.43902,3.75,3.81481,https://movies.yahoo.co.jp/movie/334175
4744,ぱいかじ南海作戦,2012年,115分,日本,コメディ,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.25,267,14.2,28.5,31.5,19.9,6.0,3.31506,4.02739,3.38356,3.75342,3.36619,https://movies.yahoo.co.jp/movie/341825
4745,オリエント急行殺人事件,2015年,上映時間記載なし,日本,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.57,267,28.1,28.5,26.6,6.0,10.9,2.85714,3.14285,2.57142,2.57142,2.28571,https://movies.yahoo.co.jp/movie/351240
4746,美人が婚活してみたら,2018年,90分,日本,ドラマ,ロマンス,コメディ,ジャンル記載なし,2.72,267,8.6,16.1,32.6,23.6,19.1,2.57894,3.13513,2.81578,2.71052,2.59459,https://movies.yahoo.co.jp/movie/366580
4747,スカイキャプテン　ワールド・オブ・トゥモロー,2004年,107分,"アメリカ,イギリス",SF,アドベンチャー,アクション,ジャンル記載なし,2.62,267,7.9,16.9,27.3,25.5,22.5,2.42666,3.35526,2.69736,3.42105,2.64473,https://movies.yahoo.co.jp/movie/320562
4748,ワンダーストラック,2017年,117分,アメリカ,ドラマ,ファミリー,ジャンル記載なし,ジャンル記載なし,3.34,267,16.9,24.0,40.8,13.1,5.2,3.33333,3.94871,3.43589,3.84615,3.48717,https://movies.yahoo.co.jp/movie/362259
4749,007／オクトパシー,1983年,130分,イギリス,アクション,サスペンス,ジャンル記載なし,ジャンル記載なし,3.57,267,22.1,29.6,34.8,10.5,3.0,2.875,3.1875,3.34375,3.375,3.4375,https://movies.yahoo.co.jp/movie/14186
4750,ジェイン・オースティンの読書会,2007年,105分,アメリカ,ドラマ,ロマンス,コメディ,ジャンル記載なし,3.87,267,25.8,44.6,23.2,3.4,3.0,4.01652,4.25619,3.86666,3.79166,3.59322,https://movies.yahoo.co.jp/movie/329708
4751,悪魔は誰だ,2013年,120分,韓国,サスペンス,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.81,267,24.7,43.8,23.2,3.8,4.5,3.92187,3.90625,3.88888,3.74603,3.61904,https://movies.yahoo.co.jp/movie/349638
4752,エリカ38,2019年,103分,日本,ドラマ,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.16,267,12.7,23.2,39.7,16.1,8.2,3.0,3.84,3.24,3.32,2.8,https://movies.yahoo.co.jp/movie/367515
4753,虎影,2015年,94分,日本,アクション,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.28,267,29.6,21.0,16.1,14.6,18.7,3.14814,3.77358,3.20754,3.24528,3.32075,https://movies.yahoo.co.jp/movie/352495
4754,クイール,2003年,100分,日本,ドラマ,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.48,266,23.3,27.1,32.3,9.4,7.9,3.4074,3.85185,3.37037,3.31481,3.26415,https://movies.yahoo.co.jp/movie/319006
4755,街の上で,2019年,130分,日本,青春,ドラマ,コメディ,ジャンル記載なし,4.0,266,42.1,34.2,12.0,4.5,7.1,4.22222,4.42222,4.44444,3.95555,3.8,https://movies.yahoo.co.jp/movie/369653
4756,ヒキタさん！ ご懐妊ですよ,2019年,104分,日本,ドラマ,コメディ,ジャンル記載なし,ジャンル記載なし,3.64,266,21.4,36.1,32.7,4.1,5.6,3.76086,4.06521,3.76086,3.67391,3.36956,https://movies.yahoo.co.jp/movie/367724
4757,女神は二度微笑む,2012年,123分,インド,サスペンス,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.9,266,26.7,45.5,20.3,6.4,1.1,4.25454,4.18181,3.98181,4.10909,3.55555,https://movies.yahoo.co.jp/movie/350787
4758,ステップ・アップ,2006年,100分,アメリカ,ドラマ,青春,ロマンス,ジャンル記載なし,3.79,266,27.8,37.6,24.1,6.4,4.1,3.22424,3.93333,3.60606,3.91463,4.33333,https://movies.yahoo.co.jp/movie/326741
4759,劇場版HUNTER×HUNTER　The LAST MISSION,2013年,98分,日本,アクション,アニメ,ジャンル記載なし,ジャンル記載なし,2.74,266,15.8,16.5,18.1,25.2,24.4,2.70992,3.26153,2.95384,3.51908,3.51145,https://movies.yahoo.co.jp/movie/346690
4760,ベン・イズ・バック,2018年,103分,アメリカ,ドラマ,サスペンス,ジャンル記載なし,ジャンル記載なし,3.19,266,14.3,20.7,42.5,14.7,7.9,3.18604,3.90697,3.39534,3.25581,3.02325,https://movies.yahoo.co.jp/movie/367058
4761,ヴァイブレータ,2003年,95分,日本,ロマンス,ドラマ,ジャンル記載なし,ジャンル記載なし,3.49,266,21.4,35.0,24.4,9.4,9.8,3.7,4.47142,3.97142,3.8,3.78571,https://movies.yahoo.co.jp/movie/318834
4762,パガニーニ　愛と狂気のヴァイオリニスト,2013年,122分,ドイツ,ドラマ,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.45,266,19.6,29.3,32.0,15.0,4.1,2.87142,3.7971,3.02898,3.53623,4.42647,https://movies.yahoo.co.jp/movie/348679
4763,ブルース・リー／死亡遊戯,1978年,100分,香港,アクション,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.24,266,14.7,22.6,40.6,16.9,5.3,2.39344,3.23333,2.78688,3.0,3.69491,https://movies.yahoo.co.jp/movie/20559
4764,ヒトラーへの285枚の葉書,2016年,103分,"ドイツ,フランス,イギリス",ドラマ,戦争,サスペンス,ジャンル記載なし,3.7,266,16.2,47.7,28.2,5.6,2.3,3.74358,4.15384,3.51282,3.5641,3.43589,https://movies.yahoo.co.jp/movie/360123
4765,スプリング・ブレイカーズ,2012年,93分,アメリカ,青春,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,2.61,266,11.3,15.0,22.6,25.9,25.2,2.21428,3.3012,2.68674,3.37349,3.20238,https://movies.yahoo.co.jp/movie/343977
4766,キューティ・ブロンド／ハッピーMAX,2003年,95分,アメリカ,コメディ,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.48,266,20.3,30.1,31.6,13.9,4.1,3.31481,4.16666,3.57407,3.79629,3.81481,https://movies.yahoo.co.jp/movie/241792
4767,CUTIE HONEY　キューティーハニー,2003年,93分,日本,アクション,ファンタジー,コメディ,ジャンル記載なし,2.69,266,9.8,14.7,30.1,25.9,19.6,2.45161,3.26229,2.83606,3.0,3.08064,https://movies.yahoo.co.jp/movie/241923
4768,涼宮ハルヒちゃんの憂鬱,2009年,上映時間記載なし,日本,コメディ,アニメ,ジャンル記載なし,ジャンル記載なし,4.64,266,88.0,2.6,1.5,1.1,6.8,5.0,5.0,5.0,4.66666,5.0,https://movies.yahoo.co.jp/movie/333043
4769,好きにならずにいられない,2015年,94分,"アイスランド,デンマーク",ドラマ,ロマンス,ジャンル記載なし,ジャンル記載なし,3.46,266,15.4,36.5,32.3,10.2,5.6,3.53846,3.88461,3.51923,3.61538,3.57692,https://movies.yahoo.co.jp/movie/355491
4770,牝猫たち,2016年,84分,日本,ドラマ,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.4,265,23.8,26.8,27.9,9.1,12.5,3.5,3.8125,3.78125,3.6875,3.3125,https://movies.yahoo.co.jp/movie/358199
4771,エターナル,2017年,97分,韓国,ドラマ,ロマンス,ジャンル記載なし,ジャンル記載なし,3.4,265,20.8,25.3,34.3,12.5,7.2,3.375,3.975,3.34146,3.55,3.225,https://movies.yahoo.co.jp/movie/361751
4772,劇場アニメ3部作 第2部『亜人 -衝突-』,2016年,106分,日本,アクション,サスペンス,SF,アニメ,3.2,265,32.8,23.0,7.2,4.9,32.1,4.35294,4.5,4.41176,4.44117,4.29411,https://movies.yahoo.co.jp/movie/354884
4773,ニューヨーク1997,1981年,99分,アメリカ,アクション,SF,サスペンス,ジャンル記載なし,3.42,265,17.7,29.4,32.5,17.7,2.6,3.33333,3.83582,3.3582,3.38805,3.55882,https://movies.yahoo.co.jp/movie/16993
4774,パニック・フライト,2005年,85分,アメリカ,サスペンス,ドラマ,ジャンル記載なし,ジャンル記載なし,3.39,265,13.6,31.7,39.3,11.3,4.2,3.4125,4.025,3.5875,3.4125,3.1625,https://movies.yahoo.co.jp/movie/324879
4775,トールマン,2012年,106分,"アメリカ,カナダ,フランス",サスペンス,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.46,265,16.6,33.6,33.6,11.7,4.5,3.57692,3.65384,3.6923,3.64102,3.25974,https://movies.yahoo.co.jp/movie/343831
4776,ROAD TO NINJA -NARUTO THE MOVIE-,2012年,109分,日本,アクション,アドベンチャー,アニメ,ジャンル記載なし,3.97,265,46.4,25.3,14.0,7.2,7.2,4.07894,4.03424,3.88435,3.9054,4.04761,https://movies.yahoo.co.jp/movie/342159
4777,オープン・ユア・アイズ,1997年,117分,スペイン,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.77,265,24.9,38.9,26.8,6.8,2.6,4.25423,4.06779,4.10169,4.06779,3.79661,https://movies.yahoo.co.jp/movie/85126
4778,ショーガール,1995年,131分,アメリカ,ドラマ,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.55,265,24.5,29.8,27.9,11.7,6.0,3.58108,4.01351,3.82432,3.89189,3.50684,https://movies.yahoo.co.jp/movie/27726
4779,オーバードライヴ,2013年,112分,アメリカ,サスペンス,アクション,ジャンル記載なし,ジャンル記載なし,3.12,265,6.8,24.2,47.2,17.7,4.2,3.52941,3.60606,3.36363,3.27272,3.0606,https://movies.yahoo.co.jp/movie/346912
4780,ロミオとジュリエット,1968年,138分,"イギリス,イタリア",ロマンス,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,4.06,265,38.5,35.9,20.8,2.6,2.3,4.28358,4.59701,4.19402,4.28358,4.56716,https://movies.yahoo.co.jp/movie/25844
4781,パークランド　ケネディ暗殺、真実の4日間,2013年,93分,アメリカ,ドラマ,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.23,265,10.6,24.9,46.0,14.0,4.5,3.58823,4.0,3.68627,3.74509,3.15686,https://movies.yahoo.co.jp/movie/347028
4782,マザーレス・ブルックリン,2019年,144分,アメリカ,サスペンス,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.5,264,17.1,34.1,35.2,9.1,4.6,3.4468,4.17021,3.51063,3.68085,3.97872,https://movies.yahoo.co.jp/movie/370523
4783,私の奴隷になりなさい,2012年,95分,日本,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,2.98,264,14.0,17.8,31.8,25.0,11.4,2.73684,3.54385,2.98245,3.26785,2.94545,https://movies.yahoo.co.jp/movie/343628
4784,セイント,1997年,116分,アメリカ,アクション,サスペンス,ジャンル記載なし,ジャンル記載なし,3.33,264,17.1,23.5,38.6,16.7,4.2,3.71875,3.96875,3.78125,3.59375,3.40625,https://movies.yahoo.co.jp/movie/54732
4785,デビルクエスト,2011年,95分,アメリカ,アクション,アドベンチャー,サスペンス,ジャンル記載なし,2.71,264,5.3,14.8,39.8,25.8,14.4,2.70833,3.56944,3.0,3.125,2.75,https://movies.yahoo.co.jp/movie/339634
4786,ハラがコレなんで,2011年,109分,日本,ドラマ,コメディ,ジャンル記載なし,ジャンル記載なし,2.72,264,9.9,15.9,31.4,22.0,20.8,2.72641,3.73831,2.77884,2.70192,2.90291,https://movies.yahoo.co.jp/movie/340505
4787,奇跡の2000マイル,2013年,112分,オーストラリア,ドラマ,アドベンチャー,ジャンル記載なし,ジャンル記載なし,3.27,264,12.9,29.2,38.3,11.0,8.7,2.82608,3.55319,3.21739,3.7826,2.97872,https://movies.yahoo.co.jp/movie/352853
4788,危険なプロット,2012年,105分,フランス,サスペンス,ドラマ,コメディ,ジャンル記載なし,3.78,264,23.9,40.5,27.7,5.7,2.3,3.98214,4.21428,4.0,3.76785,3.80357,https://movies.yahoo.co.jp/movie/345930
4789,僕はラジオ,2003年,109分,アメリカ,ドラマ,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,4.3,264,48.5,35.2,14.0,1.9,0.4,4.5,4.61363,4.30681,4.11363,3.91954,https://movies.yahoo.co.jp/movie/320595
4790,殺しのドレス,1980年,105分,アメリカ,サスペンス,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.75,264,23.9,39.4,26.1,8.7,1.9,3.64788,3.78873,3.87323,4.04225,3.8,https://movies.yahoo.co.jp/movie/8169
4791,佐賀のがばいばあちゃん,2006年,104分,日本,ドラマ,ファミリー,ジャンル記載なし,ジャンル記載なし,3.76,264,40.5,22.0,18.9,9.9,8.7,3.99029,3.62621,3.51941,3.59024,3.31553,https://movies.yahoo.co.jp/movie/324716
4792,アウト＆アウト,2017年,106分,日本,サスペンス,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.63,264,25.0,35.2,24.6,8.0,7.2,3.46875,4.21875,3.53125,3.45161,3.38709,https://movies.yahoo.co.jp/movie/364867
4793,アスファルト,2015年,100分,フランス,コメディ,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.62,264,20.1,37.9,28.0,12.1,1.9,3.78947,4.07894,3.73684,3.65789,3.47368,https://movies.yahoo.co.jp/movie/356571
4794,レイルロード・タイガー,2016年,124分,中国,アクション,アドベンチャー,サスペンス,ジャンル記載なし,2.62,264,11.7,13.6,26.5,20.8,27.3,1.7826,2.67391,1.93478,2.32608,2.13043,https://movies.yahoo.co.jp/movie/360303
4795,ONE PIECE　ワンピース　エピソード オブ アラバスタ　砂漠の王女と海賊たち,2007年,90分,日本,アドベンチャー,ファンタジー,アニメ,ジャンル記載なし,2.82,264,12.9,15.9,29.2,24.2,17.8,3.23076,3.88023,2.63313,2.54216,3.08982,https://movies.yahoo.co.jp/movie/326552
4796,さまよう刃,2014年,122分,韓国,サスペンス,ドラマ,ジャンル記載なし,ジャンル記載なし,3.72,263,20.9,43.0,27.0,5.3,3.8,4.125,4.15625,4.09375,4.0,3.65625,https://movies.yahoo.co.jp/movie/349429
4797,P2,2007年,97分,アメリカ,ホラー,サスペンス,ジャンル記載なし,ジャンル記載なし,3.28,263,9.1,32.7,40.3,12.9,4.9,3.32558,3.73846,3.44531,3.46875,3.16535,https://movies.yahoo.co.jp/movie/328744
4798,ドラムライン,2002年,119分,アメリカ,青春,ドラマ,ジャンル記載なし,ジャンル記載なし,3.91,263,30.8,37.3,25.9,4.2,1.9,3.36842,3.82978,3.97872,4.04301,4.50526,https://movies.yahoo.co.jp/movie/318676
4799,ふたつの名前を持つ少年,2013年,108分,"ドイツ,フランス",ドラマ,戦争,ジャンル記載なし,ジャンル記載なし,3.68,263,25.5,37.6,22.8,7.2,6.8,3.7647,3.85294,3.41176,3.52941,3.08823,https://movies.yahoo.co.jp/movie/352237
